sep=,
2025-05-13 14:00:00,openai.o4-mini-2025-04-16,1.04 Mil
2025-05-13 15:00:00,anthropic.claude-3-5-haiku-20241022,7.17 K
2025-05-13 15:00:00,anthropic.claude-3-7-sonnet-20250219,541 K
2025-05-13 15:00:00,google_genai.gemini-1.5-pro-002,1.18 K
2025-05-13 15:00:00,google_genai.gemini-2.0-flash-001,230 K
2025-05-13 15:00:00,meta.llama-3-2-11b-vision-instruct,3.60 K
2025-05-13 15:00:00,mistral.mistral-small-2503,3.01 K
2025-05-13 15:00:00,ollama.mistral:7b,355
2025-05-13 15:00:00,openai.gpt-4.1-2025-04-14,291 K
2025-05-13 15:00:00,openai.gpt-4.1-mini-2025-04-14,2.77 Mil
2025-05-13 15:00:00,openai.o4-mini-2025-04-16,1.54 Mil
2025-05-13 16:00:00,anthropic.claude-3-5-haiku-20241022,192 K
2025-05-13 16:00:00,anthropic.claude-3-7-sonnet-20250219,915 K
2025-05-13 16:00:00,google_genai.gemini-1.5-pro-002,100
2025-05-13 16:00:00,google_genai.gemini-2.0-flash-001,314 K
2025-05-13 16:00:00,meta.llama-3-2-11b-vision-instruct,149 K
2025-05-13 16:00:00,mistral.mistral-small-2503,151
2025-05-13 16:00:00,mistral.pixtral-large-2411,146
2025-05-13 16:00:00,openai.gpt-4.1-2025-04-14,306 K
2025-05-13 16:00:00,openai.gpt-4.1-mini-2025-04-14,2.20 Mil
2025-05-13 16:00:00,openai.o4-mini-2025-04-16,1.00 Mil
2025-05-13 17:00:00,anthropic.claude-3-5-haiku-20241022,203 K
2025-05-13 17:00:00,anthropic.claude-3-7-sonnet-20250219,431 K
2025-05-13 17:00:00,google_genai.gemini-1.5-pro-002,190
2025-05-13 17:00:00,google_genai.gemini-2.0-flash-001,10.8 K
2025-05-13 17:00:00,meta.llama-3-2-11b-vision-instruct,236 K
2025-05-13 17:00:00,mistral.mistral-small-2503,488
2025-05-13 17:00:00,mistral.pixtral-large-2411,11.2 K
2025-05-13 17:00:00,ollama.mistral:7b,2.52 K
2025-05-13 17:00:00,openai.gpt-4.1-2025-04-14,389 K
2025-05-13 17:00:00,openai.gpt-4.1-mini-2025-04-14,1.15 Mil
2025-05-13 17:00:00,openai.o4-mini-2025-04-16,58.4 K
2025-05-13 18:00:00,anthropic.claude-3-5-haiku-20241022,75.3 K
2025-05-13 18:00:00,anthropic.claude-3-7-sonnet-20250219,190 K
2025-05-13 18:00:00,google_genai.gemini-1.5-pro-002,120
2025-05-13 18:00:00,google_genai.gemini-2.0-flash-001,175
2025-05-13 18:00:00,meta.llama-3-2-11b-vision-instruct,162 K
2025-05-13 18:00:00,mistral.mistral-small-2503,151
2025-05-13 18:00:00,mistral.pixtral-large-2411,167
2025-05-13 18:00:00,ollama.mistral:7b,4.68 K
2025-05-13 18:00:00,openai.gpt-4.1-2025-04-14,216 K
2025-05-13 18:00:00,openai.gpt-4.1-mini-2025-04-14,1.77 Mil
2025-05-13 18:00:00,openai.o4-mini-2025-04-16,203 K
2025-05-13 19:00:00,anthropic.claude-3-5-haiku-20241022,624
2025-05-13 19:00:00,anthropic.claude-3-7-sonnet-20250219,244 K
2025-05-13 19:00:00,google_genai.gemini-1.5-pro-002,29
2025-05-13 19:00:00,google_genai.gemini-2.0-flash-001,1.50 K
2025-05-13 19:00:00,meta.llama-3-2-11b-vision-instruct,130 K
2025-05-13 19:00:00,mistral.mistral-small-2503,1.64 K
2025-05-13 19:00:00,mistral.pixtral-large-2411,156
2025-05-13 19:00:00,ollama.mistral:7b,623
2025-05-13 19:00:00,openai.gpt-4.1-2025-04-14,59.0 K
2025-05-13 19:00:00,openai.gpt-4.1-mini-2025-04-14,902 K
2025-05-13 19:00:00,openai.o4-mini-2025-04-16,259 K
2025-05-13 20:00:00,anthropic.claude-3-5-haiku-20241022,31.4 K
2025-05-13 20:00:00,anthropic.claude-3-7-sonnet-20250219,210 K
2025-05-13 20:00:00,google_genai.gemini-1.5-pro-002,890
2025-05-13 20:00:00,meta.llama-3-2-11b-vision-instruct,3.19 K
2025-05-13 20:00:00,ollama.mistral:7b,2.29 K
2025-05-13 20:00:00,openai.gpt-4.1-2025-04-14,609 K
2025-05-13 20:00:00,openai.gpt-4.1-mini-2025-04-14,1.30 Mil
2025-05-13 20:00:00,openai.o4-mini-2025-04-16,502 K
2025-05-13 21:00:00,anthropic.claude-3-5-haiku-20241022,8.05 K
2025-05-13 21:00:00,anthropic.claude-3-7-sonnet-20250219,69.3 K
2025-05-13 21:00:00,google_genai.gemini-1.5-pro-002,4.85 K
2025-05-13 21:00:00,google_genai.gemini-2.0-flash-001,120
2025-05-13 21:00:00,meta.llama-3-2-11b-vision-instruct,119 K
2025-05-13 21:00:00,mistral.mistral-small-2503,200
2025-05-13 21:00:00,mistral.pixtral-large-2411,167
2025-05-13 21:00:00,ollama.mistral:7b,2.46 K
2025-05-13 21:00:00,openai.gpt-4.1-2025-04-14,744 K
2025-05-13 21:00:00,openai.gpt-4.1-mini-2025-04-14,2.30 Mil
2025-05-13 21:00:00,openai.o4-mini-2025-04-16,796 K
2025-05-13 22:00:00,anthropic.claude-3-5-haiku-20241022,25.5 K
2025-05-13 22:00:00,anthropic.claude-3-7-sonnet-20250219,76.5 K
2025-05-13 22:00:00,google_genai.gemini-1.5-pro-002,34.1 K
2025-05-13 22:00:00,google_genai.gemini-2.0-flash-001,21.2 K
2025-05-13 22:00:00,meta.llama-3-2-11b-vision-instruct,322
2025-05-13 22:00:00,mistral.mistral-small-2503,321
2025-05-13 22:00:00,mistral.pixtral-large-2411,326
2025-05-13 22:00:00,openai.gpt-4.1-2025-04-14,197 K
2025-05-13 22:00:00,openai.gpt-4.1-mini-2025-04-14,2.77 Mil
2025-05-13 22:00:00,openai.o4-mini-2025-04-16,610 K
2025-05-13 23:00:00,anthropic.claude-3-7-sonnet-20250219,283 K
2025-05-13 23:00:00,google_genai.gemini-1.5-pro-002,1.90 K
2025-05-13 23:00:00,meta.llama-3-2-11b-vision-instruct,116 K
2025-05-13 23:00:00,openai.gpt-4.1-2025-04-14,136 K
2025-05-13 23:00:00,openai.gpt-4.1-mini-2025-04-14,2.65 Mil
2025-05-13 23:00:00,openai.o4-mini-2025-04-16,30.6 K
2025-05-14 00:00:00,anthropic.claude-3-7-sonnet-20250219,473 K
2025-05-14 00:00:00,google_genai.gemini-1.5-pro-002,70.9 K
2025-05-14 00:00:00,openai.gpt-4.1-2025-04-14,246 K
2025-05-14 00:00:00,openai.gpt-4.1-mini-2025-04-14,854 K
2025-05-14 00:00:00,openai.o4-mini-2025-04-16,11.2 K
2025-05-14 01:00:00,anthropic.claude-3-7-sonnet-20250219,123 K
2025-05-14 01:00:00,google_genai.gemini-1.5-pro-002,11.5 K
2025-05-14 01:00:00,openai.gpt-4.1-2025-04-14,33.9 K
2025-05-14 01:00:00,openai.gpt-4.1-mini-2025-04-14,1.45 Mil
2025-05-14 01:00:00,openai.o4-mini-2025-04-16,10.6 K
2025-05-14 02:00:00,anthropic.claude-3-7-sonnet-20250219,52.4 K
2025-05-14 02:00:00,openai.gpt-4.1-mini-2025-04-14,589 K
2025-05-14 03:00:00,openai.gpt-4.1-2025-04-14,8.26 K
2025-05-14 03:00:00,openai.gpt-4.1-mini-2025-04-14,502 K
2025-05-14 03:00:00,openai.o4-mini-2025-04-16,274 K
2025-05-14 04:00:00,meta.llama-3-2-11b-vision-instruct,2.08 K
2025-05-14 04:00:00,openai.o4-mini-2025-04-16,115 K
2025-05-14 06:00:00,openai.gpt-4.1-mini-2025-04-14,2.92 K
2025-05-14 06:00:00,openai.o4-mini-2025-04-16,93.2 K
2025-05-14 07:00:00,anthropic.claude-3-5-haiku-20241022,486 K
2025-05-14 07:00:00,openai.gpt-4.1-2025-04-14,3.47 K
2025-05-14 07:00:00,openai.gpt-4.1-mini-2025-04-14,187 K
2025-05-14 08:00:00,anthropic.claude-3-5-haiku-20241022,666 K
2025-05-14 08:00:00,anthropic.claude-3-7-sonnet-20250219,71.4 K
2025-05-14 08:00:00,google_genai.gemini-2.0-flash-001,1.07 K
2025-05-14 08:00:00,meta.llama-3-2-11b-vision-instruct,2.92 K
2025-05-14 08:00:00,ollama.mistral:7b,207
2025-05-14 08:00:00,openai.gpt-4.1-2025-04-14,419 K
2025-05-14 08:00:00,openai.gpt-4.1-mini-2025-04-14,674 K
2025-05-14 08:00:00,openai.o4-mini-2025-04-16,96.1 K
2025-05-14 09:00:00,anthropic.claude-3-7-sonnet-20250219,512 K
2025-05-14 09:00:00,google_genai.gemini-1.5-pro-002,6.86 K
2025-05-14 09:00:00,meta.llama-3-2-11b-vision-instruct,48.6 K
2025-05-14 09:00:00,ollama.mistral:7b,1.01 K
2025-05-14 09:00:00,openai.gpt-4.1-2025-04-14,130 K
2025-05-14 09:00:00,openai.gpt-4.1-mini-2025-04-14,2.74 Mil
2025-05-14 09:00:00,openai.o4-mini-2025-04-16,25.4 K
2025-05-14 10:00:00,anthropic.claude-3-5-haiku-20241022,9.68 K
2025-05-14 10:00:00,anthropic.claude-3-7-sonnet-20250219,656 K
2025-05-14 10:00:00,google_genai.gemini-1.5-pro-002,612
2025-05-14 10:00:00,google_genai.gemini-2.0-flash-001,85.3 K
2025-05-14 10:00:00,meta.llama-3-2-11b-vision-instruct,130 K
2025-05-14 10:00:00,openai.gpt-4.1-2025-04-14,233 K
2025-05-14 10:00:00,openai.gpt-4.1-mini-2025-04-14,4.34 Mil
2025-05-14 10:00:00,openai.o4-mini-2025-04-16,144 K
2025-05-14 11:00:00,anthropic.claude-3-5-haiku-20241022,32.4 K
2025-05-14 11:00:00,anthropic.claude-3-7-sonnet-20250219,377 K
2025-05-14 11:00:00,meta.llama-3-2-11b-vision-instruct,13.9 K
2025-05-14 11:00:00,ollama.mistral:7b,1.64 K
2025-05-14 11:00:00,openai.gpt-4.1-2025-04-14,178 K
2025-05-14 11:00:00,openai.gpt-4.1-mini-2025-04-14,4.17 Mil
2025-05-14 11:00:00,openai.o4-mini-2025-04-16,139 K
2025-05-14 12:00:00,anthropic.claude-3-5-haiku-20241022,11.6 K
2025-05-14 12:00:00,anthropic.claude-3-7-sonnet-20250219,286 K
2025-05-14 12:00:00,google_genai.gemini-2.0-flash-001,2.39 K
2025-05-14 12:00:00,meta.llama-3-2-11b-vision-instruct,385
2025-05-14 12:00:00,ollama.mistral:7b,10.9 K
2025-05-14 12:00:00,openai.gpt-4.1-2025-04-14,422 K
2025-05-14 12:00:00,openai.gpt-4.1-mini-2025-04-14,2.08 Mil
2025-05-14 12:00:00,openai.o4-mini-2025-04-16,74.0 K
2025-05-14 13:00:00,anthropic.claude-3-5-haiku-20241022,5.82 K
2025-05-14 13:00:00,anthropic.claude-3-7-sonnet-20250219,1.18 Mil
2025-05-14 13:00:00,google_genai.gemini-1.5-pro-002,929
2025-05-14 13:00:00,google_genai.gemini-2.0-flash-001,3.24 K
2025-05-14 13:00:00,meta.llama-3-2-11b-vision-instruct,112 K
2025-05-14 13:00:00,ollama.mistral:7b,924
2025-05-14 13:00:00,openai.gpt-4.1-2025-04-14,613 K
2025-05-14 13:00:00,openai.gpt-4.1-mini-2025-04-14,3.08 Mil
2025-05-14 13:00:00,openai.o4-mini-2025-04-16,693 K
2025-05-14 14:00:00,anthropic.claude-3-5-haiku-20241022,15.2 K
2025-05-14 14:00:00,anthropic.claude-3-7-sonnet-20250219,938 K
2025-05-14 14:00:00,meta.llama-3-2-11b-vision-instruct,5.57 K
2025-05-14 14:00:00,openai.gpt-4.1-2025-04-14,409 K
2025-05-14 14:00:00,openai.gpt-4.1-mini-2025-04-14,5.00 Mil
2025-05-14 14:00:00,openai.o4-mini-2025-04-16,778 K
2025-05-14 15:00:00,anthropic.claude-3-5-haiku-20241022,367
2025-05-14 15:00:00,anthropic.claude-3-7-sonnet-20250219,290 K
2025-05-14 15:00:00,google_genai.gemini-1.5-pro-002,1.44 K
2025-05-14 15:00:00,google_genai.gemini-2.0-flash-001,216 K
2025-05-14 15:00:00,meta.llama-3-2-11b-vision-instruct,15.9 K
2025-05-14 15:00:00,mistral.mistral-small-2503,2.13 K
2025-05-14 15:00:00,mistral.pixtral-large-2411,2.10 K
2025-05-14 15:00:00,ollama.mistral:7b,1.86 K
2025-05-14 15:00:00,openai.gpt-4.1-2025-04-14,555 K
2025-05-14 15:00:00,openai.gpt-4.1-mini-2025-04-14,2.95 Mil
2025-05-14 15:00:00,openai.o4-mini-2025-04-16,355 K
2025-05-14 16:00:00,anthropic.claude-3-5-haiku-20241022,205
2025-05-14 16:00:00,anthropic.claude-3-7-sonnet-20250219,127 K
2025-05-14 16:00:00,google_genai.gemini-1.5-pro-002,1.08 K
2025-05-14 16:00:00,google_genai.gemini-2.0-flash-001,218 K
2025-05-14 16:00:00,meta.llama-3-2-11b-vision-instruct,354 K
2025-05-14 16:00:00,mistral.mistral-small-2503,1.30 K
2025-05-14 16:00:00,mistral.pixtral-large-2411,1.22 K
2025-05-14 16:00:00,openai.gpt-4.1-2025-04-14,824 K
2025-05-14 16:00:00,openai.gpt-4.1-mini-2025-04-14,1.70 Mil
2025-05-14 16:00:00,openai.o4-mini-2025-04-16,552 K
2025-05-14 17:00:00,anthropic.claude-3-5-haiku-20241022,60
2025-05-14 17:00:00,anthropic.claude-3-7-sonnet-20250219,184 K
2025-05-14 17:00:00,google_genai.gemini-1.5-pro-002,75
2025-05-14 17:00:00,google_genai.gemini-2.0-flash-001,32
2025-05-14 17:00:00,meta.llama-3-2-11b-vision-instruct,109 K
2025-05-14 17:00:00,mistral.mistral-small-2503,249
2025-05-14 17:00:00,mistral.pixtral-large-2411,54
2025-05-14 17:00:00,openai.gpt-4.1-2025-04-14,139 K
2025-05-14 17:00:00,openai.gpt-4.1-mini-2025-04-14,1.51 Mil
2025-05-14 17:00:00,openai.o4-mini-2025-04-16,764 K
2025-05-14 18:00:00,anthropic.claude-3-7-sonnet-20250219,67.0 K
2025-05-14 18:00:00,openai.gpt-4.1-2025-04-14,134 K
2025-05-14 18:00:00,openai.gpt-4.1-mini-2025-04-14,1.85 Mil
2025-05-14 18:00:00,openai.o4-mini-2025-04-16,96.6 K
2025-05-14 19:00:00,anthropic.claude-3-7-sonnet-20250219,584 K
2025-05-14 19:00:00,meta.llama-3-2-11b-vision-instruct,467 K
2025-05-14 19:00:00,openai.gpt-4.1-2025-04-14,1.57 Mil
2025-05-14 19:00:00,openai.gpt-4.1-mini-2025-04-14,738 K
2025-05-14 19:00:00,openai.o4-mini-2025-04-16,194 K
2025-05-14 20:00:00,anthropic.claude-3-5-haiku-20241022,31.5 K
2025-05-14 20:00:00,anthropic.claude-3-7-sonnet-20250219,206 K
2025-05-14 20:00:00,google_genai.gemini-1.5-pro-002,529
2025-05-14 20:00:00,meta.llama-3-2-11b-vision-instruct,371 K
2025-05-14 20:00:00,openai.gpt-4.1-2025-04-14,453 K
2025-05-14 20:00:00,openai.gpt-4.1-mini-2025-04-14,1.18 Mil
2025-05-14 20:00:00,openai.o4-mini-2025-04-16,318 K
2025-05-14 21:00:00,anthropic.claude-3-5-haiku-20241022,7.95 K
2025-05-14 21:00:00,anthropic.claude-3-7-sonnet-20250219,467 K
2025-05-14 21:00:00,google_genai.gemini-2.0-flash-001,1.41 K
2025-05-14 21:00:00,meta.llama-3-2-11b-vision-instruct,286 K
2025-05-14 21:00:00,ollama.mistral:7b,2.82 K
2025-05-14 21:00:00,openai.gpt-4.1-2025-04-14,333 K
2025-05-14 21:00:00,openai.gpt-4.1-mini-2025-04-14,3.27 Mil
2025-05-14 21:00:00,openai.o4-mini-2025-04-16,333 K
2025-05-14 22:00:00,anthropic.claude-3-5-haiku-20241022,26.4 K
2025-05-14 22:00:00,anthropic.claude-3-7-sonnet-20250219,861 K
2025-05-14 22:00:00,google_genai.gemini-1.5-pro-002,2.32 K
2025-05-14 22:00:00,meta.llama-3-2-11b-vision-instruct,36.6 K
2025-05-14 22:00:00,openai.gpt-4.1-2025-04-14,279 K
2025-05-14 22:00:00,openai.gpt-4.1-mini-2025-04-14,3.18 Mil
2025-05-14 22:00:00,openai.o4-mini-2025-04-16,82.3 K
2025-05-14 23:00:00,anthropic.claude-3-5-haiku-20241022,344
2025-05-14 23:00:00,anthropic.claude-3-7-sonnet-20250219,792 K
2025-05-14 23:00:00,google_genai.gemini-2.0-flash-001,1.91 K
2025-05-14 23:00:00,meta.llama-3-2-11b-vision-instruct,42.1 K
2025-05-14 23:00:00,openai.gpt-4.1-2025-04-14,303 K
2025-05-14 23:00:00,openai.gpt-4.1-mini-2025-04-14,1.70 Mil
2025-05-14 23:00:00,openai.o4-mini-2025-04-16,1.44 Mil
2025-05-15 00:00:00,anthropic.claude-3-7-sonnet-20250219,175 K
2025-05-15 00:00:00,openai.gpt-4.1-2025-04-14,132 K
2025-05-15 00:00:00,openai.gpt-4.1-mini-2025-04-14,801 K
2025-05-15 00:00:00,openai.o4-mini-2025-04-16,363 K
2025-05-15 01:00:00,anthropic.claude-3-7-sonnet-20250219,67.7 K
2025-05-15 01:00:00,openai.gpt-4.1-2025-04-14,44.8 K
2025-05-15 01:00:00,openai.gpt-4.1-mini-2025-04-14,910 K
2025-05-15 01:00:00,openai.o4-mini-2025-04-16,393 K
2025-05-15 02:00:00,anthropic.claude-3-7-sonnet-20250219,2.95 K
2025-05-15 02:00:00,google_genai.gemini-2.0-flash-001,478 K
2025-05-15 02:00:00,meta.llama-3-2-11b-vision-instruct,206 K
2025-05-15 02:00:00,openai.gpt-4.1-mini-2025-04-14,1.12 Mil
2025-05-15 02:00:00,openai.o4-mini-2025-04-16,74.4 K
2025-05-15 03:00:00,openai.gpt-4.1-2025-04-14,924
2025-05-15 03:00:00,openai.gpt-4.1-mini-2025-04-14,416 K
2025-05-15 03:00:00,openai.o4-mini-2025-04-16,109 K
2025-05-15 04:00:00,openai.gpt-4.1-mini-2025-04-14,66.1 K
2025-05-15 05:00:00,meta.llama-3-2-11b-vision-instruct,32.3 K
2025-05-15 05:00:00,openai.gpt-4.1-2025-04-14,616
2025-05-15 05:00:00,openai.gpt-4.1-mini-2025-04-14,334 K
2025-05-15 05:00:00,openai.o4-mini-2025-04-16,33.8 K
2025-05-15 06:00:00,openai.gpt-4.1-2025-04-14,8.32 K
2025-05-15 06:00:00,openai.gpt-4.1-mini-2025-04-14,29.0 K
2025-05-15 07:00:00,anthropic.claude-3-7-sonnet-20250219,198 K
2025-05-15 07:00:00,meta.llama-3-2-11b-vision-instruct,4.39 K
2025-05-15 07:00:00,openai.gpt-4.1-mini-2025-04-14,221 K
2025-05-15 08:00:00,anthropic.claude-3-7-sonnet-20250219,423 K
2025-05-15 08:00:00,google_genai.gemini-2.0-flash-001,1.51 K
2025-05-15 08:00:00,meta.llama-3-2-11b-vision-instruct,14.1 K
2025-05-15 08:00:00,ollama.mistral:7b,790
2025-05-15 08:00:00,openai.gpt-4.1-2025-04-14,21.5 K
2025-05-15 08:00:00,openai.gpt-4.1-mini-2025-04-14,940 K
2025-05-15 08:00:00,openai.o4-mini-2025-04-16,48.3 K
2025-05-15 09:00:00,anthropic.claude-3-5-haiku-20241022,344
2025-05-15 09:00:00,anthropic.claude-3-7-sonnet-20250219,414 K
2025-05-15 09:00:00,google_genai.gemini-2.0-flash-001,5.93 K
2025-05-15 09:00:00,meta.llama-3-2-11b-vision-instruct,212 K
2025-05-15 09:00:00,openai.gpt-4.1-2025-04-14,28.9 K
2025-05-15 09:00:00,openai.gpt-4.1-mini-2025-04-14,1.31 Mil
2025-05-15 09:00:00,openai.o4-mini-2025-04-16,425 K
2025-05-15 10:00:00,anthropic.claude-3-5-haiku-20241022,1.91 K
2025-05-15 10:00:00,anthropic.claude-3-7-sonnet-20250219,622 K
2025-05-15 10:00:00,google_genai.gemini-2.0-flash-001,6.09 K
2025-05-15 10:00:00,meta.llama-3-2-11b-vision-instruct,256 K
2025-05-15 10:00:00,openai.gpt-4.1-2025-04-14,326 K
2025-05-15 10:00:00,openai.gpt-4.1-mini-2025-04-14,2.27 Mil
2025-05-15 10:00:00,openai.o4-mini-2025-04-16,123 K
2025-05-15 11:00:00,anthropic.claude-3-5-haiku-20241022,744
2025-05-15 11:00:00,anthropic.claude-3-7-sonnet-20250219,663 K
2025-05-15 11:00:00,google_genai.gemini-2.0-flash-001,2.86 K
2025-05-15 11:00:00,meta.llama-3-2-11b-vision-instruct,45.7 K
2025-05-15 11:00:00,openai.gpt-4.1-2025-04-14,158 K
2025-05-15 11:00:00,openai.gpt-4.1-mini-2025-04-14,2.76 Mil
2025-05-15 11:00:00,openai.o4-mini-2025-04-16,147 K
2025-05-15 12:00:00,anthropic.claude-3-5-haiku-20241022,777
2025-05-15 12:00:00,anthropic.claude-3-7-sonnet-20250219,523 K
2025-05-15 12:00:00,meta.llama-3-2-11b-vision-instruct,176 K
2025-05-15 12:00:00,openai.gpt-4.1-2025-04-14,150 K
