user_id,primary_affiliation,department
34f9c772-42a1-4ae1-ac8f-ca66aa53cb30,Staff,Magnuson Center
6c02c793-fe2a-40cf-aae8-16817e07e601,Staff,Rsch Comp
5e89cb6e-da77-443c-b423-10f9defdd4b5,Student,'26
d3b0e091-150e-427a-92d8-159b06d47e05,Staff,Rsch Comp
21b0e612-e08c-4ed6-8d7b-c5121d19179e,Staff,Campus IT Support
56e7761d-3451-4feb-ba6c-ffef63f941cf,Student,GR
1f329a10-b683-478f-9d69-a852a383fe4e,Student,GR
c3ac74a9-125b-4d8c-b5fe-9e9839ae4188,Student,GR
c5acd792-7266-4cc2-b2f3-1db87c966fda,Staff,Dart College Fund
8c208eef-1f49-4485-ae72-76df4e34c66d,Staff,Thayer School
e551f8e9-cd9f-4d7c-ac95-cfcdadeae749,Staff,ITC Strategic Init
4c1298a4-427b-45e5-8bd7-7fd3463d0013,Staff,VP Development
a95d2165-ac45-4052-80c0-32d71cd557f5,Staff,CSV IT Systems
963f0594-d57c-4f3a-91cc-388841c2161f,Staff,ITC Strategic Init
b11771a7-f8ef-4902-8b9a-c5b3feecbde2,Staff,Thayer School
936e94a1-5bbd-479a-b3e7-22e11a846424,Student,'26
10ea885f-f077-4e10-8b4c-206d25a3225c,Student,GR
6fe86ad1-6c0c-4e9d-845d-1915631b9762,Staff,Campus IT Support
b2921049-525b-476f-988e-fd4f4d8a43a0,Staff,Chief Advancement Offc
6a84f0d1-d8e0-4b06-adef-fb14ed234a28,Staff,Conf & Events
afa66146-f3e1-4aaa-a0b8-bda662c550f0,Affiliate,Guest - Educational Tech
4e6e576d-9a15-4469-be4f-99bda344a29e,Staff,Digital Online Lning
61ec9b45-973a-4dad-ac4d-3362326ccc4f,Staff,Adv Data & Supt Svcs
d54b6508-7199-4231-a436-2f09e59fa984,Staff,Web Strategy & Design
1f182284-e6ac-4cd7-a345-159aba9d597b,Staff,Donor Engagement
b047cb0c-38fc-468f-88c0-ef73e4d2ed97,Staff,Alum Adm Ambsdrs
c6eb601d-3634-4f40-9454-5012cbeed225,Student,GR
28ca5b06-4554-4b03-90fe-011bb2866f48,Staff,Rsch Comp
471264b0-8275-4f78-b8c2-032f24cece9d,Staff,Geisel Finance Center
adba2ea5-4993-4285-907e-fe94b047df10,Student,GR
f67d95a2-6d18-4c63-8255-678bce87cd87,Student,'25
81b7aae2-4270-4bd7-9658-878e2321b79c,Staff,Dart College Fund
995ebfde-7251-4c8a-a9ca-e1551fd59204,Staff,Registrar UG
cc654d0e-d062-4dfc-8005-6e4bc7095c0e,Staff,Dartmouth Institute
5ed1bcce-531a-4b12-b906-ed7561470b7c,Staff,VP Alumni Relations
ba613ade-3903-409a-986b-f1ecd79a4f81,Staff,Leadership Giving
551ed5bf-0348-4e92-bdb9-3a682a7fc7ee,Staff,Research & Prosp Mgmt
9c5422f7-23de-4d21-bb9a-6473256a1fbe,Staff,Dean of Faculty
855169cb-d4f7-4429-807d-a06edebdbd85,Staff,Web Strategy & Design
888987b0-eceb-47f2-9365-9962b12235e9,Staff,Analyst Services
9c8d587b-1f12-4253-beca-3bc4f826b221,Staff,Infrastructure Services
80916819-1d49-4383-bdf7-784f987ba655,Staff,Adv Data & Supt Svcs
eed00af2-e923-4e10-b537-31771f6cb561,Staff,Rsch Comp
f82f40df-bd0c-45be-b23c-1562c4b45ae0,Student,'26
21b8f915-a2a2-4a48-8a7d-21bac3ed8e1b,Student,GR
a8c434a3-2058-4fa9-ba00-8a15833fdbd7,Staff,Prof Devel
0c24488c-2483-4663-8b4b-d93465c388c5,Staff,Ofc of Communications
574075bd-f09e-4761-96f8-1f251f51776b,Staff,Fin Aid UG
58583010-2bac-42ae-bd4a-1742864e3c80,Staff,Leadership Giving
a0a91c00-e128-4bdb-a4dc-5de9c3c277c2,Faculty,Film and Media Studies
4081e2eb-fe9b-47a7-a458-5e1ba190a385,Student,GR
f7955746-ca6e-400f-852b-1ef3377bd13c,Student,TH
17016704-2db7-4ff1-91ae-455bf1a94939,Staff,Lib-DLTG
42dd0c0a-8a21-4c04-85bd-0f7edce58204,Staff,Development Shr Srvc
77ee20d0-35d2-4cdb-92ca-ce74507848b7,Faculty,Environmental Studies
ac78349b-6ec4-4ad3-9ac8-94da440af572,Staff,Economics
5e9fa84c-8f15-4210-8eb7-4cb354db9360,Staff,LALACS
55be494b-fbe7-47ca-ba4e-a14fbdd9dd0e,Staff,Leadership Giving
5c3e8b51-89ff-4ef1-8e13-63572fd8929a,Staff,Family Giving
143b002b-729f-4379-901d-66a4380554aa,Staff,Educational Tech
6e163915-43a9-44e2-89fa-5e558c4cc627,Staff,Campus IT Support
b525463b-b56d-444f-8657-1f74c383c042,Staff,Human Resources Operations
41ac923e-3d77-4cab-9bdc-efc3fc170eec,Staff,Leadership Giving
a12269ba-a212-44ad-998e-f1f4b3aa678f,Faculty,Epidemiology
48d651a5-e79f-4ae0-9651-7950778560ec,Staff,Infrastructure Group
e41a5f1d-b742-49e5-973d-34bea868f296,Staff,Dartmouth Institute
a72c90ce-4777-4c4b-9946-56057b87eec8,Staff,Rsch Comp
9f8068bb-f046-4c7c-ae9c-6f0bc3419f43,Staff,Computing Geisel
abb2475c-0425-4b82-9b2d-1204239479a2,Staff,Rsch Comp
98ac4501-b920-477b-bbeb-ce1048ac20ef,Student,GR
0952d1d2-0426-412b-a054-d33e73752c21,Staff,Leadership Giving
7572ad28-db76-441d-9d8d-d7fea33f3b89,Staff,Rsch Comp
e90998ec-14f0-44df-aca9-ceef55a0ae46,Staff,Thayer School
f34acdb9-9388-42af-a3b7-508260f942c9,Student,'26
1791f408-6385-4046-b04d-b31157bea2c1,Student,GR
a6362816-d7fe-4e54-8121-f6518444c676,Staff,Rsch Comp
aaced75b-2a2f-4872-8409-e3968813fae5,Staff,Physics & Astronomy
6fd65cc5-bfeb-4b4f-a028-60b98884ca5c,Staff,Env Hlth Sfty
11c5bb46-7915-4798-b500-ca9e64682c2b,Staff,Dartmouth Institute
bea3c772-a43b-4e05-876d-060a7f41f5b3,Staff,Enterprise Systems Grp
62e16127-444b-4301-9839-c5fe35c5478c,Staff,Network Engineering
1d197d69-9fc0-4f89-b9e7-d463ef0f848b,Staff,Thayer School
1999ead0-c817-4666-9a5e-82337d4a039a,Faculty,Thayer School
27527892-d09c-4910-8d61-a9ce123c5d78,Staff,Advancement Admin
bbb83778-04b0-4560-bb4c-5218b1786c7f,Staff,Dartmouth Institute
24be6c05-f217-4b96-a312-1556817c0b9e,Staff,Thayer School
996b04d8-fbad-42cb-b1f3-04f5d3dab24c,Staff,Chief Adv Office
dff885f9-8f49-4319-b0cf-70e9a5cf6212,Staff,Rsch Comp
facb06b0-c388-43a2-b343-6b6e970f98f3,Staff,Talent Acquisition
7b5674ca-4e0f-4057-b793-1582594ac39d,Staff,Dartmouth Institute
1ace2e9f-67a7-4463-8ad9-cc6ce422ef22,Staff,SAS
e0e74c6c-d0aa-43f3-b8c1-ea0c2d9ebbab,Staff,VP Alumni Relations
d87efb68-4b10-4545-a81e-c655427dd6fd,Staff,Leadership Giving
3a4bd5f6-ded6-4c31-8370-1200e660bc83,Staff,A&S Finance Center
3e7dca04-d7ae-4c17-b651-e7f9efc4454c,Staff,Leadership Giving
7ac28da1-b4dd-44de-a7b7-147a2b4ef6d9,Staff,Dartmouth Institute
5dcaf48c-76ca-4013-8fbe-6479d0ccb42f,Staff,Rsch Comp
13573de6-d3e1-4134-a997-60563ce991f8,Staff,ADV MKT and ENG
57a399bd-49de-4a42-a3f0-4b7f2e006952,Staff,ADV MKT and ENG
20c837f2-5fc1-438d-88e8-43abc0603dad,Staff,Leadership Giving
47d31f99-0dc5-40df-bb13-79e55832a11c,Staff,Rsch Comp
1805d1b6-d428-4b0d-8372-518618d6d9b9,Staff,Dart Alumni Mag
ef40cd60-1076-4744-9aa8-dffc53786a1d,Student,GR
5df74623-fc8f-4196-ae1e-87dfa8cc8d6a,Staff,Donor Engagement
b1fbb567-58df-49d5-a637-994d0d9b0582,Student,GR
d1c14c5f-ea25-4765-9540-67c5104ec91a,Staff,Advancement Admin
01b3c8a0-0a26-4510-8a21-0df28139e27b,Staff,Ofc of Communications
2ab15cab-616d-454c-9519-419f9bca2a16,Student,GR
dfa486a6-2428-447e-8920-109b8d18ff81,Staff,Dart College Fund
4e62ed2c-f3f2-48bd-8f0e-3e8ae17a1654,Staff,Thayer School
43bdaeb4-74a6-43d1-a494-cf2ba2975f8b,Staff,Lib-Feldberg
33546020-f995-4501-92f1-72c6b93c119d,Staff,Thayer School
3037d2f8-df97-40aa-a0da-c492139c9e5d,Staff,Leadership Giving
e05a8f10-c30a-4036-9159-ed7202e3040c,Staff,CSV Operations
670a43c1-3db3-4086-a1c4-0f040ffdbddb,Staff,Donor Engagement
236f4118-5a7c-44b8-805a-16e839ca9fd9,Staff,Recognition and Stew
ad69b201-bd0e-4f52-bf6c-f4f4fb942c1f,ExEmployee,Gift Planning
c3938331-d046-427a-916c-a70281e8b6f9,Staff,Thayer School
59a84211-3e5f-4f0a-8b36-6250dce47363,Staff,Dart College Fund
f2fbd40a-8ed5-4696-b0f5-35b576ca5c9c,Faculty,EEERS
194db957-fd07-484d-a8d4-b893208fb6bb,Staff,Leadership Giving
5b48b555-513b-4abd-8e67-5dedbe1af43b,Staff,Lib-Feldberg
30b0bdaa-ffe4-430b-b3ee-458ab24eee8b,Student,GR
fe893cc9-89be-4e6e-9e1d-aae050f433f3,Staff,Donor Engagement
f4f73aff-edef-4e3a-b841-67b3601ce749,Staff,Research & Prosp Mgmt
6e54c56f-e3f7-45ab-8bed-cdc9cb5f2e88,Staff,Lib-Admin
495e272e-00f7-4346-ada6-1795a6ac4580,Staff,Analyst Services
d4021841-8aaf-4927-8877-b70565502f10,Staff,Thayer School
c2dc61c9-2d53-4849-98d7-f9b702281372,Staff,Thayer School
65899b1b-56fe-460f-b81d-410667a4b384,Staff,Thayer School
a98d1108-77ce-4f6d-addf-7345c7b314d5,Staff,Computing Geisel
cc425f23-420a-4605-9c54-7ac7ed5f2670,Staff,ITC Strategic Init
0fc128e4-11a1-45d3-b47b-20da13b68d88,Staff,ADV MKT and ENG
e914d384-7935-4c3f-b5d6-3118382f8510,Staff,Dartmouth Institute
d169ce8b-be45-4de8-9e8b-4ee773c7ba0f,Faculty,Surgery
0cbe3781-3f8f-4e9a-8455-40a6fa4e4fdd,Staff,Dart College Fund
9d6e9fd5-c530-486a-a10a-84caffc94b38,Staff,ADV MKT and ENG
0513e845-51da-4059-b241-d32aaf778066,Staff,CSV IT Systems
fa4a4079-afda-47c2-a19b-586af691b812,Staff,ADV MKT and ENG
9043e1a3-ee90-4ccc-9647-54e678fde6c7,Student,'25
04ff9f02-6fc5-4a2f-8222-4a18b0c541ca,Staff,Dart College Fund
8f341c9f-02e1-495d-9a21-5d75f5707dde,Faculty,Epidemiology
463e6f08-208d-4bbe-9942-e8291a484bd0,Staff,Thayer School
d5f90b2c-0b49-4a34-b446-515d267294a2,Staff,Lib-DLTG
5ef59bf7-7ba2-4952-9912-3ffc7d19e612,ExEmployee,CFMED
72991f2e-3220-4e75-88ef-ced31578a43f,Staff,Procurement Svcs
fca37cc5-4b5d-4d96-b5bc-a378ba915b20,Staff,Leadership Giving
6c7df793-8199-40af-a38b-eacbd9000ffc,Staff,University ADV
64505b7b-e0a7-4641-b087-5809a856d40e,Staff,Recognition and Stew
33b7e4b5-e383-4921-a6ac-59ab75d69d91,Staff,VP Alumni Relations
1833d8b0-93cb-4585-8821-7f4df7e47f0d,Student,'27
437a7dc8-afe6-4453-8886-ae11a6aa6cdc,ExEmployee,Pres Init Princ Gifts
e73f37d6-c1d2-4062-b624-f1f33805a1c8,Staff,ITC Strategic Init
ca8a0b69-67ae-4407-ac5b-8495c7beab7a,Staff,Development Shr Srvc
f54cdc0f-5795-4e14-b011-07b3bfe85931,Staff,Human Resources
9aae33e2-0699-4707-89b4-1f8ba139b949,Student,GR
ffbb11f4-cf59-41e6-8c24-cce8226e63a1,Member,Infrastructure Services
75b84d6e-2668-4d1e-8d16-5f2c4dba8772,Staff,ADV MKT and ENG
f2a004e0-3572-4bb3-8d8b-7e633ac15850,Staff,Epidemiology
85615f4f-93d7-4593-a8a0-882490ec028a,Staff,A&S Finance Center
3d7d29b7-6477-4f83-a16e-740f90ae6a0d,Student,GR
52f7114c-ed48-433f-a7b8-b433772eff22,Staff,Thayer School
b390fc56-f5d5-4776-9da0-2129edcfddf8,Staff,Lib-Admin
cdf34fb9-e648-4f96-87b0-ebc76926892c,Staff,Dean of Faculty
111e6900-8c0c-4777-8ce3-fe3251db4ab9,Staff,Dean of Faculty
d16a3085-c32b-491b-90d9-57c753eba33c,Staff,Advancement Business Ops
3322e40c-258c-4886-849c-d6f208cede09,Staff,Computing Geisel
fb3a6419-0161-45e3-813f-54d8da76277b,Staff,Prof Devel
d2fe350f-74ab-4c06-adf5-f104625a27f1,Staff,Computing Geisel
f4ba2279-0d52-42c7-a8a0-5c2b2039b48d,Staff,Thayer School
b4f082cd-72b8-4989-9bcb-5ab91fc67225,Staff,Adv Data & Supt Svcs
64cbe35c-2462-4965-bd29-81901b95d7e1,Staff,Enterprise Systems Grp
d954bfaf-6aac-495b-b40b-a1c41c1e09e2,Staff,Enterprise Systems Grp
e1ca0332-50d2-40a6-a3be-03e1c28a944f,Staff,A&S Finance Center
a01202b7-236d-4838-b4ed-795e80cee65b,Faculty,Mathematics
b2f8ecd0-5630-42c4-8c13-3d08111651e7,Student,TH
08036243-9b52-4336-8cac-490948f949d6,Staff,Campus IT Support
a915de1f-64be-4f53-9eb2-0c46ab6f7adc,Student,GR
3f377858-3485-4c0a-9712-379d4da951cf,Faculty,Thayer School
434bab09-4691-49ac-91c1-b5a17b619309,Student,GR
b3899293-a0ec-4852-8283-69fd056e21c7,Staff,Grad & Adv Studies
20f9eba5-9d34-4e13-b58b-993b62cc0f11,Faculty,Health Pol Clin Prac
eb481182-0e9d-4f1b-964c-b08afd99ef61,ExEmployee,Adv Data & Supt Svcs
4cbefab6-e692-44cc-ba2d-37be14e12d02,Staff,D-CAL
412c524f-d52a-4d24-98a3-e09100e3f3bb,Student,TH
285247c0-1348-45e1-905d-06cc5f92434b,Student,GR
eb33ed9d-2804-4936-8c66-9f3cb3a55106,Staff,Epidemiology
219014fc-4d15-4d11-8361-bebe7c703e9c,Faculty,Inst for Writing Rhetoric
e7b35f29-2ac8-4d11-9add-4f7c78d4d3c7,Staff,Adv Sys and Serv
57775aa3-25c9-4493-a534-17885936949c,Staff,Corp & Foundation Rels
13740269-8b47-447f-8ad0-2a8cbff0f60f,Faculty,Neukom Institute
a92082eb-5d81-45f3-ae7f-26d74160b5f0,Staff,Dart College Fund
c1103bad-6f4f-405c-9cd1-1b8544818061,Staff,Biomed Data Sci
b840185d-f7bd-4d9e-a098-298930104e05,Faculty,EEERS
74d76715-b3a6-4ed8-ab9a-bb565561ff52,Staff,Lib-Admin
d41dc9fa-a818-4c00-bcf9-aeb8efadc35f,Staff,Leadership Giving
5f6a5abe-ccc5-4c09-8f76-6279ae59bf66,Staff,Accounting
cd72de19-b402-4acd-963f-de7c8851a696,Student,GR
16a39123-33c1-4192-bfa1-0d1bd1a3e1b2,Staff,Adv Sys and Serv
52617d4f-0813-4249-b388-aa444861675a,Staff,Micro Immuno
1bdbf8a4-c8a7-4ace-99ac-a2259eb84c0c,Staff,Analyst Services
51bd27c3-819a-4829-b145-8ae8c4d7c8a7,Staff,Thayer School
9ebef830-0777-4fe9-bd36-2485c76b8b93,Staff,Thayer School
be624ce3-f233-4e76-9490-cbb9d503cf8f,Staff,Research & Prosp Mgmt
e46c4e80-b238-4f5f-a3b9-e3497e9a2466,Staff,Recognition and Stew
02153b26-5fc1-4011-9431-757db2d73603,Staff,Rsch Comp
c91d741c-a612-4783-b6c1-c86cf549dce6,ExEmployee,VP Development
e56561e3-e25b-4aac-bd93-b94bd5b07d7f,Staff,Thayer School
c144f54f-0ba8-48dc-9ef6-0eb88fafb094,Staff,Recognition and Stew
06f658e4-68de-48a2-95aa-fb9a41c0181e,Staff,VP Development
4485b818-7006-4e1f-807b-6f2c372c4030,Staff,Family Giving
1b3b697c-caaf-48c7-a637-9e79b04d1a35,Staff,Enterprise Systems Grp
efbb3e4d-f90e-48ea-b986-9fc2accea801,Staff,Finance and Admin
7d4889cc-8e13-4307-a680-e05ff1a83b40,Staff,Enterprise Systems Grp
80e71a13-96d5-4165-8143-07ceab77fb3b,Staff,Leadership Giving
ee4347dd-06b9-409c-b2c5-1263e7f34c38,Faculty,Epidemiology
92a579d4-8c6f-4bc1-8f73-40cbce1513d6,Staff,Computing Security
ac838270-6afb-4afc-8269-fec971085b54,Staff,Development Shr Srvc
0b9802d0-e022-4627-a1ce-00764749761f,Member,Educational Tech
376d2bef-55b6-48fc-be2f-f6d264af5c61,Faculty,Computer Science
7bbdbd75-5c23-462e-a442-f2fe36d546f6,Staff,A&S Dev Office
757f59fe-f093-4b53-9df3-7d0059c8d1ce,Staff,Epidemiology
3d3e1937-365b-4b53-8371-2f209b1f8191,Staff,CSV Operations
77ffaea1-e8d5-4050-abab-6d2190672a51,Faculty,Neukom Institute
e754eeb7-1e29-4e82-a648-a7e6b59de118,Faculty,Cognitive Science
ce40bb46-db80-47c5-a7b4-f194bac672d4,Staff,Conf & Events
a67cb0cb-0eb0-4d00-b736-348e132508a3,Staff,Budget + Planning
2615d79b-e6a6-4a5b-9ac9-abc323196672,Staff,Dartmouth for Life
3b56ac2d-e010-4f19-a87f-a10b276ccac0,Staff,Enterprise Systems Grp
575d2b69-b50d-4815-8c2c-55af51ab2a3b,Staff,ADV MKT and ENG
80aa50d1-f0a1-4d02-ac6f-1cb76ea7d7fd,Staff,Development Shr Srvc
0e84c6da-fec0-4ac9-a795-63a2d993e467,Staff,Lib-R&L
250a7ef4-fd11-4060-b119-c45673be9483,Staff,Analyst Services
7bc5b02d-5999-4e07-a49f-3c533bc90f00,Faculty,Irving Institute
4d614abb-6c61-42a0-aad1-af86716ca2a5,ExEmployee,Rsch Comp
0ff75798-4daf-49a2-862b-4dede7176992,Staff,Conf & Events
0e474cb1-cf9b-4300-a68f-4224ebb1c2e9,Faculty,Thayer School
eaa4cc07-7daf-4298-be21-11c769eed6c5,Student,TH
67881aaf-5855-475f-9c0f-4861e5c925cb,Staff,Biomed Data Sci
4874557d-fc22-40ef-8bae-cc2e2763c88c,Staff,Dartmouth for Life
3c1c91e2-da7d-4dbe-a6ff-e1af5c0425fd,Staff,Rsch Comp
d7020482-18d3-40fe-9d46-ab4b63e768bc,Staff,Rsch Comp
11b6a041-9574-4b4e-947a-cad7671d7fb1,ExEmployee,Rsch Comp
be95dabe-a349-4fc8-ae02-eac5ee820ed3,Staff,Research & Prosp Mgmt
43765241-b6e3-4e81-87d4-ca23820af091,Staff,Advancement Business Ops
2133eb7c-31a0-4a1e-85f1-4b15d09742ce,Student,'26
ae185cdd-64e0-4577-8648-734601d0eb56,Student,'26
1a59e516-5f91-4be0-999f-3f1de71abd60,Staff,Leadership Giving
07438d42-1d49-48f8-b66c-1c67effe75ab,Staff,Lib-Spec Collection
17685477-d034-43d5-82ec-eb651ae6e9be,Staff,Dartmouth Cancer Ctr
812d2d8c-3efb-43f8-8c36-c3951804265d,Student,'26
8a267cef-10b7-4639-9519-b6203325f323,Staff,Rsch Comp
e59752c5-dcdc-4c0b-b9dd-d6a7c2e523b3,Staff,Dartmouth Institute
70f11d73-1b8a-4c4d-9e31-0624d45e5473,Staff,Lib-Admin
895f8a50-0b03-4a30-8edb-0b348731cdd5,Student,GR
c8b8d694-5a23-4a6e-afe0-a473a02b8f5a,Staff,Epidemiology
10d7007d-672f-4bb9-ac45-e4aa85fa5a56,Faculty,Physics & Astronomy
e519ce63-5ec3-421c-8062-a9927376dd26,Faculty,French and Italian
72e2a604-c3e1-48ce-b99b-0fe28197e4c5,Staff,Corp & Foundation Rels
d310b84b-8e27-41bf-88da-1dd6083a809a,Staff,PBS
2e288495-e46c-4e12-82db-8ae28b836f35,Staff,"Info, Tech & Consulting"
10d3716e-62b7-4a89-a5cf-2fbef776ce26,Staff,Film and Media Studies
12d57a58-98c5-4275-b031-e5f141d2f921,Student,'25
4218fe7d-5ac3-4580-b0ab-4293ffe36691,ExEmployee,Dartmouth Cancer Ctr
be93d348-1437-4356-9467-e2fe46d76e70,Student,'25
d084cf66-aa39-4e56-84f7-32f80801dd22,Student,'28
caffcad7-7ca5-47a3-9c31-8174210758c7,Staff,Arts + Sciences
5bad201b-3b8d-4303-ad99-1b139b928e8b,Staff,Lib-T&L
5325d43c-f3de-4168-a5e5-842117e6a304,Student,'28
7770be00-f24a-4d86-add9-17209fa32800,Staff,Geisel HR
4181f75b-ee07-4b29-8c5a-6ba6bbed2f6c,Student,TH
f0057c86-72f3-4571-be21-7adda49b8ed4,Student,TH
03cf6eb9-1220-491c-99a4-e7dfa7428f78,Staff,Development Shr Srvc
16cfa3b1-4040-4dae-86a6-42cf4462f98c,Student,'26
c618368a-cbe8-4cfc-8b90-5bfd5d1a2452,Staff,Geisel Education
439600bb-ad46-4768-b0eb-871efab5539c,Staff,Human Resources
d1c6b8b3-c0a8-4b99-bfed-859984ed26e2,Student,'26
26613018-7dd2-4f7a-955f-c9138f0bcc9b,Student,TH
47ed850d-5b1d-4971-ab1b-0f544acee6ac,Faculty,Computer Science
7f61fd38-67b3-4a02-a279-54524d45e400,Faculty,Thayer School
84f8ca75-f68a-42bb-9022-be613ad416c2,Staff,Geisel Faculty Affairs
92efe018-a13e-4026-a26a-e7e664ea1add,Faculty,CFMED
